link,ph 1,ph2,ph3,ph4,ph5
https://bacdive.dsmz.de/strain/133163,"('Ref.: #24942', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133168,"('Ref.: #24943', 'optimum', '6.1-8.8')","('Ref.: #24943', 'growth', '6.5-7.5')",,,
https://bacdive.dsmz.de/strain/133169,"('Ref.: #24944', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133170,"('Ref.: #24945', 'growth', '6.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133173,"('Ref.: #24949', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133174,"('Ref.: #24950', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/132648,"('Ref.: #24955', 'growth', '5.5-9.0')",,,,
https://bacdive.dsmz.de/strain/133178,"('Ref.: #24956', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133179,"('Ref.: #24957', 'growth', '4.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133180,"('Ref.: #24958', 'optimum', '7.5-8.0')","('Ref.: #24958', 'growth', '7.0-9.0')",,,
https://bacdive.dsmz.de/strain/133181,"('Ref.: #24960', 'optimum', '6.0-7.0')","('Ref.: #24960', 'growth', '6.0-8.0')",,,
https://bacdive.dsmz.de/strain/17886,"('Ref.: #24974', 'optimum', '7.0-9.0')",,,,
https://bacdive.dsmz.de/strain/8593,"('Ref.: #24974', 'optimum', '7.0-9.0')",,,,
https://bacdive.dsmz.de/strain/132659,"('Ref.: #24975', 'optimum', '6.5-7.5')","('Ref.: #24975', 'growth', '5.5-9.5')",,,
https://bacdive.dsmz.de/strain/132666,"('Ref.: #24976', 'optimum', '7.0-8.0')",,,,
https://bacdive.dsmz.de/strain/132669,"('Ref.: #24977', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133187,"('Ref.: #24978', 'optimum', '8.0-9.0')",,,,
https://bacdive.dsmz.de/strain/132668,"('Ref.: #24979', 'growth', '5.0-9.0')",,,,
https://bacdive.dsmz.de/strain/132667,"('Ref.: #24981', 'growth', '5.5-9.0')",,,,
https://bacdive.dsmz.de/strain/132665,"('Ref.: #24982', 'optimum', '7.0-7.5')","('Ref.: #24982', 'growth', '5.9-7.9')",,,
https://bacdive.dsmz.de/strain/133189,"('Ref.: #24983', 'growth', '5.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133190,"('Ref.: #24985', 'optimum', '6.5-8.0')","('Ref.: #24985', 'growth', '6.0-9.0')",,,
https://bacdive.dsmz.de/strain/133191,"('Ref.: #24986', 'growth', '6.0-9.0')",,,,
https://bacdive.dsmz.de/strain/133007,"('Ref.: #24987', 'growth', '6.0-8.0')",,,,
https://bacdive.dsmz.de/strain/133194,"('Ref.: #24990', 'growth', '5.0-8.0')",,,,
